id,character,reading,sound_elem,is_primary
1,"金","김","金",1
2,"金","금","金",0
3,"李","이","木",1
4,"李","리","木",0
5,"伊","이","土",1
6,"朴","박","木",1
7,"崔","최","土",1
8,"鄭","정","火",1
9,"正","정","火",1
10,"靜","정","金",1
11,"情","정","金",1
12,"姜","강","木",1
13,"康","강","木",1
14,"江","강","水",1
15,"趙","조","火",1
16,"曺","조","金",1
17,"張","장","火",1
18,"章","장","火",1
19,"林","임","木",1
20,"林","림","木",0
21,"任","임","金",1
22,"韓","한","水",1
23,"漢","한","水",1
24,"吳","오","木",1
25,"五","오","土",1
26,"申","신","金",1
27,"愼","신","金",1
28,"劉","유","金",1
29,"柳","유","木",1
30,"柳","류","木",0
31,"安","안","土",1
32,"宋","송","金",1
33,"松","송","木",1
34,"田","전","火",1
35,"全","전","金",1
36,"洪","홍","水",1
37,"高","고","木",1
38,"古","고","木",1
39,"文","문","水",1
40,"門","문","水",1
41,"楊","양","木",1
42,"梁","양","木",1
43,"梁","량","木",0
44,"孫","손","金",1
45,"裵","배","水",1
46,"白","배","金",1
47,"民","민","水",1
48,"敏","민","水",1
49,"旻","민","火",1
50,"玟","민","水",1
51,"俊","준","火",1
52,"峻","준","土",1
53,"駿","준","金",1
54,"遵","준","金",1
55,"瑞","서","金",1
56,"徐","서","金",1
57,"西","서","金",1
58,"書","서","金",1
59,"賢","현","木",1
60,"炫","현","火",1
61,"弦","현","水",1
62,"玄","현","水",1
63,"宇","우","土",1
64,"雨","우","水",1
65,"友","우","土",1
66,"佑","우","土",1
67,"振","진","火",1
68,"眞","진","金",1
69,"珍","진","火",1
70,"晋","진","火",1
71,"浩","호","水",1
72,"皓","호","木",1
73,"好","호","水",1
74,"豪","호","水",1
75,"智","지","火",1
76,"志","지","火",1
77,"知","지","火",1
78,"池","지","水",1
79,"英","영","木",1
80,"榮","영","木",1
81,"永","영","水",1
82,"映","영","火",1
83,"水","수","水",1
84,"秀","수","金",1
85,"壽","수","金",1
86,"洙","수","水",1
87,"尹","윤","土",1
88,"允","윤","土",1
89,"潤","윤","水",1
90,"玧","윤","金",1
91,"胤","윤","木",1
92,"泰","태","水",1
93,"太","태","火",1
94,"兌","태","金",1
95,"希","희","水",1
96,"喜","희","火",1
97,"姬","희","木",1
98,"熙","희","水",1
99,"銀","은","金",1
100,"恩","은","土",1
101,"隱","은","土",1
102,"我","아","木",1
103,"雅","아","木",1
104,"兒","아","金",1
105,"蓮","연","木",1
106,"燕","연","土",1
107,"延","연","土",1
108,"演","연","水",1
109,"珠","주","火",1
110,"州","주","金",1
111,"柱","주","木",1
112,"宙","주","火",1
113,"惠","혜","水",1
114,"慧","혜","水",1
115,"蕙","혜","木",1
116,"成","성","金",1
117,"聖","성","土",1
118,"星","성","火",1
119,"誠","성","金",1
120,"景","경","木",1
121,"敬","경","木",1
122,"京","경","木",1
123,"慶","경","木",1
124,"道","도","火",1
125,"都","도","土",1
126,"島","도","火",1
127,"桃","도","木",1
128,"石","석","金",1
129,"碩","석","土",1
130,"昔","석","火",1
131,"鐵","철","金",1
132,"哲","철","火",1
133,"澈","철","水",1
134,"勳","훈","土",1
135,"薰","훈","木",1
136,"燻","훈","火",1
137,"龍","용","土",1
138,"容","용","土",1
139,"勇","용","土",1
140,"革","혁","木",1
141,"赫","혁","木",1
142,"健","건","木",1
143,"建","건","木",1
144,"乾","건","金",1
145,"元","원","木",1
146,"源","원","水",1
147,"園","원","土",1
148,"遠","원","土",1
149,"歡","환","水",1
150,"煥","환","火",1
151,"桓","환","木",1
152,"完","완","土",1
153,"琓","완","土",1
154,"椀","완","木",1
155,"圭","규","土",1
156,"奎","규","土",1
157,"葵","규","木",1
158,"範","범","水",1
159,"凡","범","水",1
160,"梵","범","木",1
161,"承","승","金",1
162,"昇","승","火",1
163,"勝","승","金",1
164,"燦","찬","火",1
165,"讚","찬","金",1
166,"粲","찬","火",1
167,"臨","림","火",1
168,"瑟","슬","金",1
169,"瑬","슬","金",1
170,"那","나","火",1
171,"娜","나","火",1
172,"羅","나","火",1
173,"律","율","火",1
174,"栗","율","木",1
175,"彬","빈","木",1
176,"濱","빈","水",1
177,"賓","빈","水",1
178,"率","솔","金",1
179,"別","별","水",1
180,"結","결","木",1
181,"潔","결","水",1
182,"潭","담","水",1
183,"淡","담","水",1
184,"膽","담","水",1
185,"泉","샘","水",1
186,"野","들","木",1
187,"春","봄","木",1
188,"夏","여름","火",1
189,"秋","가을","金",1
190,"冬","겨울","水",1
191,"伽","가",,1
192,"佳","가",,1
193,"假","가",,1
194,"價","가",,1
195,"加","가",,1
196,"可","가",,1
197,"呵","가",,1
198,"哥","가",,1
199,"哿","가",,1
200,"嘉","가",,1
201,"嘏","가",,1
202,"嘏","하",,0
203,"坷","가",,1
204,"婽","가",,1
205,"嫁","가",,1
206,"家","가",,1
207,"岢","가",,1
208,"徦","가",,1
209,"斝","가",,1
210,"暇","가",,1
211,"架","가",,1
212,"枷","가",,1
213,"柯","가",,1
214,"椵","가",,1
215,"榎","가",,1
216,"檟","가",,1
217,"歌","가",,1
218,"泇","가",,1
219,"渮","가",,1
220,"牁","가",,1
221,"珂","가",,1
222,"珈","가",,1
223,"痂","가",,1
224,"稼","가",,1
225,"笳","가",,1
226,"耞","가",,1
227,"舸","가",,1
228,"苛","가",,1
229,"茄","가",,1
230,"菏","가",,1
231,"菏","하",,0
232,"葭","가",,1
233,"街","가",,1
234,"袈","가",,1
235,"訶","가",,1
236,"謌","가",,1
237,"賈","가",,1
238,"賈","고",,0
239,"跏","가",,1
240,"軻","가",,1
241,"迦","가",,1
242,"駕","가",,1
243,"傕","각",,1
244,"刻","각",,1
245,"却","각",,1
246,"卻","각",,1
247,"各","각",,1
248,"咯","각",,1
249,"埆","각",,1
250,"恪","각",,1
251,"愨","각",,1
252,"慤","각",,1
253,"搉","각",,1
254,"擱","각",,1
255,"桷","각",,1
256,"殼","각",,1
257,"珏","각",,1
258,"脚","각",,1
259,"覺","각",,1
260,"角","각",,1
261,"閣","각",,1
262,"隺","각",,1
263,"隺","학",,0
264,"侃","간",,1
265,"偘","간",,1
266,"刊","간",,1
267,"墾","간",,1
268,"奸","간",,1
269,"姦","간",,1
270,"干","간",,1
271,"幹","간",,1
272,"忓","간",,1
273,"忓","한",,0
274,"慳","간",,1
275,"懇","간",,1
276,"揀","간",,1
277,"杆","간",,1
278,"柬","간",,1
279,"栞","간",,1
280,"桿","간",,1
281,"榦","간",,1
282,"涆","간",,1
283,"澗","간",,1
284,"玕","간",,1
285,"癇","간",,1
286,"癎","간",,1
287,"看","간",,1
288,"矸","간",,1
289,"矸","안",,0
290,"磵","간",,1
291,"秆","간",,1
292,"稈","간",,1
293,"竿","간",,1
294,"簡","간",,1
295,"肝","간",,1
296,"艮","간",,1
297,"艱","간",,1
298,"茛","간",,1
299,"衎","간",,1
300,"諫","간",,1
301,"赶","간",,1
302,"迀","간",,1
303,"間","간",,1
304,"齦","간",,1
305,"乫","갈",,1
306,"喝","갈",,1
