character,meaning,reading,current_strokes,current_element,radical,kangxi_strokes,ziyuan_element,comment,name_freq
紆,"얽힐",우,19,METAL,,,,,9064
愚,"어리석을",우,17,FIRE,,,,,9064
盱,"쳐다볼",우,14,METAL,,,,,9064
盓,"웅덩이",우,14,METAL,,,,,9064
羽,"깃",우,9,METAL,,,,,9064
友,"벗",우,11,WATER,,,,,9064
虞,"생각할",우,22,FIRE,,,,,9064
耰,"곰방메",우,13,WOOD,,,,,9064
俁,"클",우,24,METAL,,,,,9064
扝,"우",우,20,EARTH,,,,,9064
偊,"혼자걸을",우,9,METAL,,,,,9064
祐,"도울",우,22,FIRE,,,,,9064
迶,"우",우,16,WATER,,,,,9064
藕,"연뿌리",우,15,EARTH,,,,,9064
亴,"날",우,17,FIRE,,,,,9064
訏,"클",우,16,WATER,,,,,9064
訧,"허물",우,16,WATER,,,,,9064
疣,"혹",우,31,WATER,,,,,9064
謣,"망령되게말할",우,20,EARTH,,,,,9064
佑,"도울",우,9,METAL,,,,,9064
雨,"비",우,15,EARTH,,,,,9064
宇,"집",우,13,WOOD,,,,,9064
優,"뛰어날",우,9,METAL,,,,,9064
杅,"목욕통",우,12,FIRE,,,,,9064
萭,"성",우,17,FIRE,,,,,9064
右,"오른",우,15,EARTH,,,,,9064
优,"오곡휠",우,24,METAL,,,,,9064
堣,"땅이름",우,14,METAL,,,,,9064
又,"우",우,11,WATER,,,,,9064
吘,"부를",우,7,FIRE,,,,,9064
湡,"물이름",우,15,EARTH,,,,,9064
偶,"짝수",우,12,FIRE,,,,,9064
郵,"역말",우,17,FIRE,,,,,9064
迂,"굽을",우,14,METAL,,,,,9064
穻,"창",우,16,WATER,,,,,9064
芋,"토란",우,19,METAL,,,,,9064
踽,"외로울",우,7,FIRE,,,,,9064
耦,"나란히갈",우,13,WOOD,,,,,9064
尤,"더욱",우,16,WATER,,,,,9064
瀀,"융기많을",우,18,WOOD,,,,,9064
扜,"지휘할",우,19,METAL,,,,,9064
牛,"소",우,10,EARTH,,,,,9064
盂,"사발",우,13,WOOD,,,,,9064
瑀,"옥돌",우,17,FIRE,,,,,9064
麌,"수사슴",우,21,WATER,,,,,9064
鍝,"귀고리",우,22,FIRE,,,,,9064
隅,"구석",우,10,EARTH,,,,,9064
澞,"언덕사이물",우,17,FIRE,,,,,9064
雩,"기우제",우,15,EARTH,,,,,9064
邘,"나라이름",우,13,WOOD,,,,,9064
旴,"해돋을",우,19,METAL,,,,,9064
玗,"옥돌",우,15,EARTH,,,,,9064
遇,"만날",우,21,WATER,,,,,9064
吁,"탄식할",우,17,FIRE,,,,,9064
楀,"나무이름",우,12,FIRE,,,,,9064
圩,"우묵들어갈",우,21,WATER,,,,,9064
鄅,"나라이름",우,17,FIRE,,,,,9064
釪,"요령",우,11,WATER,,,,,9064
祤,"현이름",우,10,EARTH,,,,,9064
禑,"복",우,11,WATER,,,,,9064
嵎,"산모퉁이",우,19,METAL,,,,,9064
彝,"떳떳할",이,21,WATER,,,,,9019
彛,"떳떳할",이,21,WATER,,,,,9019
薾,"꽃번성할",이,15,EARTH,,,,,9019
峓,"산이름",이,18,WOOD,,,,,9019
廙,"공경할",이,15,EARTH,,,,,9019
邇,"가까울",이,12,FIRE,,,,,9019
怡,"기뻐할",이,13,WOOD,,,,,9019
貽,"줄",이,22,FIRE,,,,,9019
姨,"이모",이,15,EARTH,,,,,9019
恞,"기꺼울",이,14,METAL,,,,,9019
已,"그칠",이,24,METAL,,,,,9019
杝,"나무이름",이,13,WOOD,,,,,9019
栮,"버섯",이,16,WATER,,,,,9019
陑,"땅이름",이,24,METAL,,,,,9019
鉺,"갈고리",이,14,METAL,,,,,9019
弛,"느슨할",이,18,WOOD,,,,,9019
詒,"속일",이,17,FIRE,,,,,9019
訑,"으쓱거릴",이,16,WATER,,,,,9019
貤,"겹칠",이,17,FIRE,,,,,9019
異,"다를",이,25,EARTH,,,,,9019
珥,"귀엣고리",이,16,WATER,,,,,9019
洱,"물이름",이,13,WOOD,,,,,9019
肄,"익힐",이,15,EARTH,,,,,9019
而,"말이을",이,12,FIRE,,,,,9019
貳,"둘",이,20,EARTH,,,,,9019
佴,"성내 이을",이,12,FIRE,,,,,9019
移,"옮길",이,14,METAL,,,,,9019
媐,"기쁠",이,13,WOOD,,,,,9019
歋,"서로웃을",이,9,METAL,,,,,9019
咿,"글읽는소리",이,12,FIRE,,,,,9019
洟,"콧물",이,13,WOOD,,,,,9019
爾,"너",이,10,EARTH,,,,,9019
敡,"업신여길",이,12,FIRE,,,,,9019
荑,"벨",이,16,WATER,,,,,9019
苡,"율무",이,12,FIRE,,,,,9019
珆,"옥돌",이,16,WATER,,,,,9019
以,"써",이,19,METAL,,,,,9019
洢,"물이름",이,13,WOOD,,,,,9019
二,"두",이,17,FIRE,,,,,9019
耳,"귀",이,13,WOOD,,,,,9019
迤,"갈",이,16,WATER,,,,,9019
尔,"그렇다할",이,15,EARTH,,,,,9019
夷,"오랑캐",이,9,METAL,,,,,9019
伊,"그,",이,21,WATER,,,,,9019
飴,"엿",이,18,WOOD,,,,,9019
巸,"이,희",이,24,METAL,,,,,9019
隶,"밑",이,13,WOOD,,,,,9019
栭,"두공",이,16,WATER,,,,,9019
頤,"기를",이,16,WATER,,,,,9019
鴯,"제비",이,22,FIRE,,,,,9019
蕸,"연꽃잎",하,13,WOOD,,,,,8202
碬,"숫돌",하,26,WATER,,,,,8202
罅,"틈",하,16,WATER,,,,,8202
蝦,"새우",하,13,WOOD,,,,,8202
煆,"데울",하,23,WOOD,,,,,8202
瑕,"티",하,18,WOOD,,,,,8202
抲,"하",하,11,WATER,,,,,8202
賀,"축하",하,23,WOOD,,,,,8202
昰,"옳을",하,6,WATER,,,,,8202
荷,"연꽃",하,17,FIRE,,,,,8202
赮,"붉을",하,17,FIRE,,,,,8202
霞,"놀",하,16,WATER,,,,,8202
下,"아래",하,14,METAL,,,,,8202
何,"어찌",하,9,METAL,,,,,8202
鰕,"새우",하,20,EARTH,,,,,8202
廈,"큰집",하,15,EARTH,,,,,8202
岈,"땅이름",하,17,FIRE,,,,,8202
懗,"공갈할",하,22,FIRE,,,,,8202
遐,"멀",하,21,WATER,,,,,8202
呀,"입딱벌릴",하,9,METAL,,,,,8202
哬,"소리",하,13,WOOD,,,,,8202
嚇,"껄껄웃을",하,11,WATER,,,,,8202
厦,"처마",하,7,FIRE,,,,,8202
鍜,"목투구",하,22,FIRE,,,,,8202
閜,"크게 열릴",하,12,FIRE,,,,,8202
棲,"깃들일",서,18,WOOD,,,,,8054
婿,"사위",서,12,FIRE,,,,,8054
瑞,"상서로울",서,18,WOOD,,,,,8054
漵,"개펄",서,17,FIRE,,,,,8054
壻,"사위",서,20,EARTH,,,,,8054
澨,"물가",서,17,FIRE,,,,,8054
嫬,"계집자",서,9,METAL,,,,,8054
序,"차례",서,13,WOOD,,,,,8054
栖,"깃들일",서,16,WATER,,,,,8054
筮,"점",서,22,FIRE,,,,,8054
暑,"더위",서,9,METAL,,,,,8054
庶,"많을",서,14,METAL,,,,,8054
徆,"곧게갈",서,8,WOOD,,,,,8054
噬,"물",서,11,WATER,,,,,8054
墅,"농막",서,16,WATER,,,,,8054
恕,"용서할",서,14,METAL,,,,,8054
悆,"기쁠",서,15,EARTH,,,,,8054
汿,"개천",서,12,FIRE,,,,,8054
敘,"베풀",서,11,WATER,,,,,8054
抒,"떠낼",서,10,EARTH,,,,,8054
紓,"느슨할",서,19,METAL,,,,,8054
沀,"성",서,12,FIRE,,,,,8054
敍,"차례",서,10,EARTH,,,,,8054
黍,"기장",서,22,FIRE,,,,,8054
揟,"고기잡을",서,20,EARTH,,,,,8054
捿,"깃들일",서,12,FIRE,,,,,8054
舒,"펼",서,9,METAL,,,,,8054
湑,"거를",서,15,EARTH,,,,,8054
遾,"미칠",서,11,WATER,,,,,8054
鋤,"김맬",서,18,WOOD,,,,,8054
豫,"미리",서,12,FIRE,,,,,8054
諝,"슬기",서,19,METAL,,,,,8054
鉏,"호미",서,23,WOOD,,,,,8054
薯,"고구마",서,14,METAL,,,,,8054
誓,"맹세",서,18,WOOD,,,,,8054
芧,"상수리",서,10,EARTH,,,,,8054
逝,"갈",서,18,WOOD,,,,,8054
曙,"새벽",서,11,WATER,,,,,8054
藇,"아름다울",서,15,EARTH,,,,,8054
縃,"다",서,19,METAL,,,,,8054
偦,"재주있을",서,11,WATER,,,,,8054
署,"맡을",서,18,WOOD,,,,,8054
嶼,"섬",서,22,FIRE,,,,,8054
撕,"찢을",서,18,WOOD,,,,,8054
緖,"실마리",서,17,FIRE,,,,,8054
耡,"호미",서,13,WOOD,,,,,8054
楈,"서나무",서,14,METAL,,,,,8054
西,"서녘",서,13,WOOD,,,,,8054
犀,"무소",서,11,WATER,,,,,8054
叙,"차례",서,13,WOOD,,,,,8054
稰,"가을할",서,15,EARTH,,,,,8054
書,"글",서,11,WATER,,,,,8054
絮,"솜",서,13,WOOD,,,,,8054
胥,"서리",서,17,FIRE,,,,,8054
閠,"윤",윤,12,FIRE,,,,,7540
阭,"높을",윤,20,EARTH,,,,,7540
閏,"윤달",윤,27,FIRE,,,,,7540
橍,"나무이름",윤,14,METAL,,,,,7540
胤,"후사",윤,17,FIRE,,,,,7540
玧,"옥",윤,16,WATER,,,,,7540
鋆,"금",윤,17,FIRE,,,,,7540
潤,"윤택할",윤,17,WATER,,,,,7540
允,"허락할",윤,10,EARTH,,,,,7540
奫,"물깊을",윤,11,WATER,,,,,7540
