남자 이름 순위,,
순위,이름,이름수
1,이준,"1,593"
2,하준,"1,512"
3,도윤,"1,492"
4,은우,"1,353"
5,시우,"1,351"
6,서준,"1,324"
7,선우,"1,218"
8,유준,"1,204"
9,수호,"1,156"
10,도현,"1,135"
11,이현,"1,100"
12,이안,"1,086"
13,지호,"1,076"
14,도하,"1,070"
15,우주,"1,050"
16,태오,"1,031"
17,예준,977
18,로운,889
19,지한,878
20,윤우,853
21,연우,849
22,주원,844
23,우진,795
24,민준,778
25,은호,756
26,준우,743
27,시윤,738
28,도준,684
29,이한,682
30,이든,630
31,지후,613
32,태이,606
33,유찬,599
34,건우,571
34,하진,571
34,태하,571
37,현우,547
38,지우,537
39,서우,527
39,서진,527
41,유안,489
42,정우,480
43,하온,463
44,율,438
44,다온,438
46,이도,434
47,지안,424
48,하민,423
48,준서,423
50,도영,413
51,도율,404
52,재하,400
53,지훈,395
54,지오,392
55,재이,382
56,이찬,375
57,아준,363
58,단우,359
59,서호,351
60,시현,349
61,윤재,343
62,우빈,338
63,로이,335
63,한결,335
65,시안,331
66,시온,330
67,태윤,325
68,진우,316
69,시후,315
70,재윤,300
71,선호,299
72,시원,295
73,주안,288
74,주호,281
74,하늘,281
76,도겸,277
77,유현,275
78,은찬,271
79,도진,268
80,하람,265
81,하랑,262
82,준,260
83,윤,257
84,라온,256
85,연준,255
86,시호,253
86,이담,253
88,승우,251
89,현,250
90,하루,249
91,윤호,248
92,민재,246
92,지민,246
94,도훈,245
95,지율,242
96,수현,238
97,도원,230
97,정후,230
99,해솔,229
100,도운,227
,,
여자 이름 순위,,
순위,이름,이름수
1,이서,"1,689"
2,서아,"1,682"
3,하린,"1,320"
4,지유,"1,238"
5,하윤,"1,224"
5,아윤,"1,224"
7,지안,"1,194"
8,지아,"1,133"
9,서윤,"1,121"
10,아린,"1,116"
11,시아,"1,087"
12,지우,972
13,유주,892
14,채아,878
15,윤슬,873
16,윤서,849
17,수아,832
18,유나,826
19,서하,822
20,나은,789
21,채이,771
22,리아,740
23,도아,739
24,이나,734
25,예나,731
26,소이,727
27,이솔,700
28,하은,697
29,유하,670
30,태리,653
31,서연,646
32,예서,631
33,재이,607
34,하율,605
35,이현,574
35,로아,574
37,채원,571
38,예린,562
39,세아,559
40,다은,524
41,소율,522
42,서현,518
43,채윤,509
44,채은,507
45,서우,505
46,시은,495
47,윤아,492
48,소윤,483
48,은서,483
50,다인,471
51,하리,465
51,나윤,465
53,서율,456
54,서은,442
54,연서,442
56,지윤,434
57,설아,433
58,해나,430
59,민서,428
60,주아,426
61,연우,417
62,아인,412
63,은채,409
64,다온,385
65,소은,384
66,유진,381
66,봄,381
68,지율,373
69,다윤,367
70,유이,363
71,하연,357
72,태이,355
73,해린,353
74,해인,344
74,예은,344
76,지민,342
77,아현,341
78,사랑,340
79,루아,334
80,솔,325
81,단아,324
82,하나,323
83,지원,320
84,유은,305
85,채린,298
86,소민,280
87,태린,276
88,나연,269
89,하루,265
90,은하,264
91,다미,261
92,도은,257
92,지수,257
94,예원,255
94,세은,255
96,다현,251
96,설,251
98,하늘,245
98,제이,245
100,이진,242
